date,county,year,T_day,T_night,T_avg
2023-08-13,Staunton,2023,30.864057167252454,19.557033855562867,25.119861251762305
2023-08-20,Covington,2023,29.337245306897312,19.002269563383283,24.239492268636077
2023-08-20,Buena Vista,2023,29.53920458034017,17.91495303002398,24.01297660710999
2023-08-20,Lexington,2023,30.336168491194694,18.143503093764902,24.310285578296075
2023-08-20,Galax,2023,27.176545245773504,17.87710128994432,22.422058780416336
2023-08-20,Norton,2023,27.014973970911846,19.2503548542908,22.37314603123494
2023-08-20,Radford,2023,28.499776437474893,19.043221149979914,23.072650784077226
2023-08-20,Danville,2023,30.521519740849495,20.71487905384207,25.222480125132765
2023-08-20,Martinsville,2023,29.4746005206615,19.640293330400063,24.604549554504477
2023-08-20,Salem,2023,32.02672427035333,20.555669025674817,25.972091479006885
2023-08-20,Roanoke,2023,33.08128362236153,21.19361477275925,26.244092912229195
2023-08-20,Bristol,2023,29.6434564783639,19.81921140416514,24.552570613542866
2023-08-20,Russell,2023,26.598295415645083,18.37856164498195,21.648822349797907
2023-08-20,Buchanan,2023,25.99125987177926,19.203878966913592,21.184108502242733
2023-08-20,Alleghany,2023,24.39563702973527,18.667586582387024,21.26067163054253
2023-08-20,Patrick,2023,25.44692632759846,18.69400322252822,21.95676467533571
2023-08-20,Grayson,2023,24.37065987105483,17.330622262500604,20.736676849652003
2023-08-20,Wythe,2023,25.600004472271948,17.58514427757211,21.132970914631603
2023-08-20,Carroll,2023,25.2283778466413,17.540028913363038,21.13228521928749
2023-08-20,Bath,2023,23.524664337719628,17.981995217420376,21.102084675905303
2023-08-20,Smyth,2023,24.72870185272765,17.82151242528933,20.91850196512212
2023-08-20,Bland,2023,24.612456761125166,17.681826947051526,20.495217698115862
2023-08-20,Lee,2023,26.526341734272407,19.784131308903884,22.850945680764397
2023-08-20,Highland,2023,24.739714512961022,16.274125042167572,20.51563093484434
2023-08-20,Rockbridge,2023,25.43404272500471,17.987377674045213,21.843423555015058
2023-08-20,Dickenson,2023,26.185173365608723,19.341585056993736,21.687577596329323
2023-08-20,Wise,2023,26.464094037687676,19.27115596901348,22.086880346716953
2023-08-20,Montgomery,2023,26.335802381468135,17.994638798642715,21.73975875341905
2023-08-20,Floyd,2023,24.708637166321186,16.846094705972376,20.55331804954824
2023-08-20,Giles,2023,24.091666755342192,17.99669085068602,20.463319816166543
2023-08-20,Pulaski,2023,26.3244717617137,18.46099358298433,21.860832119006492
2023-08-20,Tazewell,2023,25.289638283929364,17.399267204059292,20.577023398293424
2023-08-20,Pittsylvania,2023,27.64371160035636,18.835344948407496,23.035993474411537
2023-08-20,Amherst,2023,25.859150596384268,18.35938397389417,21.89952930925064
2023-08-20,Bedford,2023,26.705306897726643,18.62159995921867,22.294884776341075
2023-08-20,Campbell,2023,26.988182177174615,18.63022626884358,22.41696649700822
2023-08-20,Henry,2023,26.74624649874075,18.7563105915655,22.605514196281806
2023-08-20,Craig,2023,25.108448182660855,18.133388027827717,21.182624062420587
2023-08-20,Franklin,2023,26.43052583359914,18.88193373958642,22.566248129530113
2023-08-20,Roanoke,2023,26.46659118834307,19.11599214060089,22.655783028327523
2023-08-20,Botetourt,2023,25.817063572370877,18.680827624631185,21.93092520137065
2023-08-20,Scott,2023,25.7476946883181,19.4133278560198,22.211062591335427
