date,county,year,T_night
2024-04-15,Alleghany,2024,15.479933633882654
2024-04-15,Amherst,2024,16.87310712588318
2024-04-15,Franklin,2024,15.83300177657714
2024-04-15,Roanoke,2024,16.967199371443584
2024-04-15,Fairfax,2024,15.210324526176995
2024-04-15,Richmond,2024,15.041973975003833
2024-04-15,Accomack,2024,8.846176422184458
2024-04-15,Albemarle,2024,15.943450381788276
2024-04-15,Appomattox,2024,16.474218774806673
2024-04-15,Amelia,2024,15.265674283109066
2024-04-15,Fairfax,2024,15.508171396354095
2024-04-15,Franklin,2024,13.781518271461753
2024-04-15,Richmond,2024,16.96092760787923
2024-04-22,Roanoke,2024,7.7321059039307105
2024-04-22,Alleghany,2024,9.035641200320992
2024-04-22,Amherst,2024,9.510381791078462
2024-04-22,Franklin,2024,8.224461525326173
2024-04-22,Roanoke,2024,9.052569225192205
2024-04-22,Fairfax,2024,8.01212828607435
2024-04-22,Richmond,2024,6.785676715379468
2024-04-22,Accomack,2024,7.522071999446564
2024-04-22,Albemarle,2024,7.41177860622474
2024-04-22,Appomattox,2024,9.55988964804904
2024-04-22,Amelia,2024,8.53736205123693
2024-04-22,Fairfax,2024,7.295865438827314
2024-04-22,Franklin,2024,8.888894818252156
2024-04-22,Richmond,2024,9.518945631131697
2024-04-29,Roanoke,2024,15.764491629500382
2024-04-29,Alleghany,2024,17.817767438848986
2024-04-29,Amherst,2024,17.129543548847288
2024-04-29,Franklin,2024,16.481085919813587
2024-04-29,Roanoke,2024,16.772047534474453
2024-04-29,Fairfax,2024,18.51203323538263
2024-04-29,Richmond,2024,18.762343482205885
2024-04-29,Accomack,2024,17.3276293353096
2024-04-29,Albemarle,2024,17.104990870784306
2024-04-29,Appomattox,2024,16.682774599788864
2024-04-29,Amelia,2024,17.33330987734463
2024-04-29,Fairfax,2024,19.283692864189433
2024-04-29,Franklin,2024,18.850147670146978
2024-04-29,Richmond,2024,19.999636049117637
2024-05-06,Roanoke,2024,17.084201621565136
2024-05-06,Alleghany,2024,11.269840921691502
2024-05-06,Amherst,2024,12.583792782542782
2024-05-06,Franklin,2024,14.472829068355033
2024-05-06,Roanoke,2024,15.244067119332328
2024-05-06,Fairfax,2024,0.6365297802035491
2024-05-06,Richmond,2024,13.801159378143728
2024-05-06,Accomack,2024,13.147642814285703
2024-05-06,Albemarle,2024,10.744194815284336
2024-05-06,Appomattox,2024,13.01437298935577
2024-05-06,Amelia,2024,14.010367518607486
2024-05-06,Fairfax,2024,-2.408545454545423
2024-05-06,Franklin,2024,18.24782047563809
2024-05-06,Richmond,2024,7.798073677670244
2024-05-13,Roanoke,2024,12.069730790628704
2024-05-13,Alleghany,2024,12.351983317657131
2024-05-13,Amherst,2024,12.59150695573172
2024-05-13,Franklin,2024,13.204427179821266
2024-05-13,Roanoke,2024,12.609396132365884
2024-05-13,Fairfax,2024,12.46491531592913
2024-05-13,Richmond,2024,12.69167502364012
2024-05-13,Accomack,2024,11.363703241536772
