satellite,year,month,month_name,date,peak_NDVI,peak_GOSAVI,peak_GDVI,peak_EVI,peak_CVI,image_count,data_available,has_blue_band,total_corn_area_m2
Landsat5_TM,2002.0,8.0,Aug,2002-08,0.7296276973460055,0.5117185350232653,0.9407490645262918,0.5738938157308908,310.09125890579924,22,true,true,2.3231864894117637E9
Landsat5_TM,2002.0,9.0,Sep,2002-09,0.6613683790331101,0.4434930745796494,0.8908403370448349,0.6299419615521649,536.7540508742451,25,true,true,2.3231864894117637E9
Landsat5_TM,2003.0,5.0,May,2003-05,0.6403746663584187,0.44689409465652463,0.8858949001927511,0.5009057417287313,5.04005555070104,20,true,true,2.3231864894117637E9
Landsat5_TM,2003.0,6.0,Jun,2003-06,0.6505150762775403,0.4474322055051276,0.8945455162847562,0.505363784786499,4.422410553799085,24,true,true,2.3231864894117637E9
Landsat5_TM,2003.0,7.0,Jul,2003-07,0.6963991766007845,0.48019321727698355,0.9235755934796293,0.7556823078036035,5.0739817066754265,27,true,true,2.3231864894117637E9
Landsat5_TM,2003.0,8.0,Aug,2003-08,0.7608527062793227,0.5152177212058852,0.9554479067769361,0.6196106569974321,4.819892318239792,20,true,true,2.3231864894117637E9
Landsat5_TM,2003.0,9.0,Sep,2003-09,0.7178053915865695,0.48286449493797806,0.9331632407721077,0.5222785560293285,4.847827059904068,20,true,true,2.3231864894117637E9
Landsat5_TM,2004.0,5.0,May,2004-05,0.6366287395392506,0.4525751624980201,0.8825262018114712,0.5100810298286916,7.551034255292064,23,true,true,2.3231864894117637E9
Landsat5_TM,2004.0,6.0,Jun,2004-06,0.6643475987606576,0.4702491249765291,0.9035487377072302,0.5753813613952414,4.975639856350257,25,true,true,2.3231864894117637E9
Landsat5_TM,2004.0,7.0,Jul,2004-07,0.7484981877943692,0.5190449234220449,0.9503269239780159,0.6845705581660951,4.615556159850451,29,true,true,2.3231864894117637E9
Landsat5_TM,2004.0,8.0,Aug,2004-08,0.757843871710516,0.5219151310851923,0.9509021219500274,0.6491842683187908,14.467934732358994,27,true,true,2.3231864894117637E9
Landsat5_TM,2004.0,9.0,Sep,2004-09,0.7176537715998972,0.48304306279521214,0.9299240317344815,0.5412150639638869,4.989082485477894,23,true,true,2.3231864894117637E9
Landsat5_TM,2005.0,5.0,May,2005-05,0.6148805950514259,0.43315576585831994,0.870332414555285,0.45452318917018536,3.88400217358566,26,true,true,2.3231864894117637E9
Landsat5_TM,2005.0,6.0,Jun,2005-06,0.6214487740696483,0.44796097990379063,0.8772460289143428,0.5215107749871303,7.911538447727443,24,true,true,2.3231864894117637E9
Landsat5_TM,2005.0,7.0,Jul,2005-07,0.7366646873661093,0.5074872518955965,0.9451628220016011,0.5983308334701656,4.852299851858117,25,true,true,2.3231864894117637E9
Landsat5_TM,2005.0,8.0,Aug,2005-08,0.7928572115055189,0.538486603588434,0.9682399355047687,0.6556835877731795,5.442027037531139,28,true,true,2.3231864894117637E9
Landsat5_TM,2005.0,9.0,Sep,2005-09,0.6465211285905387,0.44352284368850886,0.8922492484029578,0.4720452173353006,21.375200466091457,29,true,true,2.3231864894117637E9
Landsat5_TM,2006.0,5.0,May,2006-05,0.6210357838780263,0.43815885491672596,0.8731322542471407,0.4594964976272943,4.065113240598274,24,true,true,2.3231864894117637E9
Landsat5_TM,2006.0,6.0,Jun,2006-06,0.6692573925013828,0.4630288690238816,0.9087356978322823,0.49696401478880126,4.250143324689941,26,true,true,2.3231864894117637E9
Landsat5_TM,2006.0,7.0,Jul,2006-07,0.7518177552799578,0.5164110320492658,0.9505794632885108,0.5892240046696671,5.097476590734355,24,true,true,2.3231864894117637E9
Landsat5_TM,2006.0,8.0,Aug,2006-08,0.7488950706993458,0.5120844989419366,0.948475431997422,0.6040286833277401,7.669940105172262,25,true,true,2.3231864894117637E9
Landsat5_TM,2006.0,9.0,Sep,2006-09,0.7182548341229342,0.47655195692766705,0.9320740216216019,0.5154246914775744,23.307629444130043,22,true,true,2.3231864894117637E9
Landsat5_TM,2007.0,5.0,May,2007-05,0.6172036454445861,0.43336048304754665,0.8714573331318618,0.4641859470281536,4.676278533688569,24,true,true,2.3231864894117637E9
Landsat5_TM,2007.0,6.0,Jun,2007-06,0.6325322147697875,0.4510317276241822,0.8841875395646644,0.47919855986448073,4.35455412947172,17,true,true,2.3231864894117637E9
